country,latDem,Dem,Index,colour,pval,tau,ips_ss_val,sa_ss_val,ips_work,ips_trsm,ips_study,ips_fam,ips_mar,ips_sch,ips_med,ips_trans,ips_sprt,sa_work,sa_trsm,sa_study,sa_fam,sa_mar,sa_sch,sa_med,sa_trans,sa_sprt,ips_work_val,ips_trsm_val,ips_study_val,ips_fam_val,ips_mar_val,ips_sch_val,ips_med_val,ips_trans_val,ips_sprt_val,sa_work_val,sa_trsm_val,sa_study_val,sa_fam_val,sa_mar_val,sa_sch_val,sa_med_val,sa_trans_val,sa_sprt_val,DemandPop,LatDemPop,ips_work_val_perc,ips_trsm_val_perc,ips_study_val_perc,ips_fam_val_perc,ips_mar_val_perc,ips_sch_val_perc,ips_med_val_perc,ips_trans_val_perc,ips_sprt_val_perc,sa_work_val_perc,sa_trsm_val_perc,sa_study_val_perc,sa_fam_val_perc,sa_mar_val_perc,sa_sch_val_perc,sa_med_val_perc,sa_trans_val_perc,sa_sprt_val_perc
Belarus,77,37,37,#e7aaca,0.067,0.63,12,9,2,1,5,4,6,7,8,3,9,2,1,4,5,3,6,7,9,8,3,6,0,1,0,0,0,2,0,1,7,0,0,1,0,0,0,0,Tourism,Tourism,25,50,0,8.33,0,0,0,16.67,0,11.11,77.78,0,0,11.11,0,0,0,0
Sri Lanka,76,60,38,#a098c4,0.04,0.64,44,9,2,3,5,1,6,7,8,4,9,2,1,4,3,5,6,7,8,9,11,11,0,18,0,0,0,4,0,2,4,1,2,0,0,0,0,0,Family,Tourism,25,25,0,40.91,0,0,0,9.09,0,22.22,44.44,11.11,22.22,0,0,0,0,0
Viet Nam,75,48,39,#e7aaca,0.42,0.28,4,9,1,3,4,2,5,6,7,8,9,2,1,3,4,5,6,7,8,9,2,0,0,2,0,0,0,0,0,3,6,0,0,0,0,0,0,0,Work,Tourism,50,0,0,50,0,0,0,0,0,33.33,66.67,0,0,0,0,0,0,0
Argentina,74,74,40,#a098c4,0.013,0.73,118,11,2,1,5,3,7,8,9,4,6,1,2,3,4,5,6,7,8,9,17,76,4,13,0,0,0,6,2,5,4,1,1,0,0,0,0,0,Tourism,Work,14.41,64.41,3.39,11.02,0,0,0,5.08,1.69,45.45,36.36,9.09,9.09,0,0,0,0,0
Israel,73,78,41,#a098c4,0.29,0.31,206,8,3,1,6,2,7,8,9,4,5,2,1,3,5,6,4,7,8,9,47,66,1,62,0,0,0,27,3,2,3,2,0,0,1,0,0,0,Tourism,Tourism,22.82,32.04,0.49,30.1,0,0,0,13.11,1.46,25,37.5,25,0,0,12.5,0,0,0
Sudan,72,2,42,#e7aaca,0,0,0,5,1,2,3,4,5,6,7,8,9,1,2,4,3,5,6,7,8,9,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,Work,Work,0,0,0,0,0,0,0,0,0,40,40,0,20,0,0,0,0,0
Albania,71,33,43,#e7aaca,0.49,0.23,3,8,3,2,4,5,6,7,8,1,9,4,1,2,3,5,6,7,8,9,0,1,0,0,0,0,0,2,0,0,4,2,2,0,0,0,0,0,Transit,Tourism,0,33.33,0,0,0,0,0,66.67,0,0,50,25,25,0,0,0,0,0
Kazakhstan,70,51,44,#e7aaca,0.0059,0.84,34,8,2,1,3,4,6,7,8,5,9,2,1,3,4,5,6,7,8,9,9,14,6,4,0,0,0,1,0,3,4,1,0,0,0,0,0,0,Tourism,Tourism,26.47,41.18,17.65,11.76,0,0,0,2.94,0,37.5,50,12.5,0,0,0,0,0,0
"Moldova, Republic of",69,27,45,#e7aaca,0.069,0.6,4,7,1,2,4,3,5,6,7,8,9,1,2,3,4,5,6,7,8,9,2,1,0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,Work,Work,50,25,0,25,0,0,0,0,0,42.86,42.86,14.29,0,0,0,0,0,0
Guyana,68,3,46,#e7aaca,0.49,-0.24,1,8,1,2,3,4,5,6,7,8,9,4,1,5,2,3,6,7,8,9,1,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,Work,Tourism,100,0,0,0,0,0,0,0,0,0,75,0,12.5,12.5,0,0,0,0
Mexico,67,75,47,#a098c4,0.064,0.61,139,7,4,1,5,3,7,6,8,2,9,2,1,3,4,5,6,7,9,8,14,82,5,18,0,1,0,19,0,1,6,0,0,0,0,0,0,0,Tourism,Tourism,10.07,58.99,3.6,12.95,0,0.72,0,13.67,0,14.29,85.71,0,0,0,0,0,0,0
Uganda,66,39,48,#e7aaca,0.0073,0.94,12,5,3,1,5,2,6,7,8,4,9,2,1,4,3,5,6,7,9,8,2,4,0,4,0,0,0,2,0,1,3,0,1,0,0,0,0,0,Tourism,Tourism,16.67,33.33,0,33.33,0,0,0,16.67,0,20,60,0,20,0,0,0,0,0
Hong Kong,65,81,49,#a098c4,0.022,0.69,95,7,2,1,5,3,7,8,9,4,6,1,2,3,4,5,6,7,8,9,21,44,2,15,0,0,0,12,1,2,2,2,1,0,0,0,0,0,Tourism,Work,22.11,46.32,2.11,15.79,0,0,0,12.63,1.05,28.57,28.57,28.57,14.29,0,0,0,0,0
Cameroon,64,22,50,#e7aaca,0.59,0.19,5,7,3,1,4,5,6,7,8,2,9,6,1,2,3,4,7,5,9,8,1,2,0,0,0,0,0,2,0,0,3,1,1,1,0,1,0,0,Tourism,Tourism,20,40,0,0,0,0,0,40,0,0,42.86,14.29,14.29,14.29,0,14.29,0,0
France,63,112,51,#4782bd,0,0,3255,0,2,1,5,3,8,9,7,4,6,1,2,3,4,5,6,7,8,9,756,1604,58,645,0,0,3,150,39,0,0,0,0,0,0,0,0,0,Tourism,Work,23.23,49.28,1.78,19.82,0,0,0.09,4.61,1.2,0,0,0,0,0,0,0,0,0
Germany,62,111,52,#4782bd,0,0,3499,0,2,1,5,3,9,8,7,4,6,1,2,3,4,5,6,7,8,9,1133,1464,55,606,1,2,3,202,33,0,0,0,0,0,0,0,0,0,Tourism,Work,32.38,41.84,1.57,17.32,0.03,0.06,0.09,5.77,0.94,0,0,0,0,0,0,0,0,0
Ecuador,61,21,53,#e7aaca,0.034,0.73,1,7,2,1,3,4,5,6,7,8,9,3,1,4,5,6,7,8,2,9,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,Tourism,Tourism,0,100,0,0,0,0,0,0,0,0,57.14,0,0,0,0,0,42.86,0
Togo,60,1,54,#e7aaca,0,0,0,4,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Work,Work,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Angola,59,36,55,#b3adaa,0.037,0.69,9,5,1,2,3,4,5,6,7,8,9,1,3,2,4,5,6,7,8,9,5,4,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,Work,Work,55.56,44.44,0,0,0,0,0,0,0,40,20,40,0,0,0,0,0,0
"Korea, Democratic People's Republic of",58,86,56,#95C7EC,0.46,0.22,217,6,2,1,5,3,7,8,9,4,6,2,3,1,4,5,6,7,8,9,56,118,7,19,0,0,0,15,2,2,0,4,0,0,0,0,0,0,Tourism,Study,25.81,54.38,3.23,8.76,0,0,0,6.91,0.92,33.33,0,66.67,0,0,0,0,0,0
